Count,Modem,Time
0,d3ad0001,11123
1,d3ad0001,26421
2,d3ad0001,41710
3,d3ad0001,57006
4,d3ad0001,72295
5,d3ad0001,87587
6,d3ad0001,102880
7,d3ad0001,118174
8,d3ad0001,133464
9,d3ad0001,148755
10,d3ad0001,164049
11,d3ad0001,179342
12,d3ad0001,194631
13,d3ad0001,209924
14,d3ad0001,225217
15,d3ad0001,240511
16,d3ad0001,255801
17,d3ad0001,271099
18,d3ad0001,286388
19,d3ad0001,301681
20,d3ad0001,316971
21,d3ad0001,332263
22,d3ad0001,347551
23,d3ad0001,362845
24,d3ad0001,378136
25,d3ad0001,393431
26,d3ad0001,408720
27,d3ad0001,424013
28,d3ad0001,439306
29,d3ad0001,454598
30,d3ad0001,469891
31,d3ad0001,485185
32,d3ad0001,500475
33,d3ad0001,515771
34,d3ad0001,531063
35,d3ad0001,546356
36,d3ad0001,561648
37,d3ad0001,576940
38,d3ad0001,592232
39,d3ad0001,607527
40,d3ad0001,622815
41,d3ad0001,638107
42,d3ad0001,653397
43,d3ad0001,668690
44,d3ad0001,683984
45,d3ad0001,699277
46,d3ad0001,714569
47,d3ad0001,729864
48,d3ad0001,745156
49,d3ad0001,760449
50,d3ad0001,775739
51,d3ad0001,791031
52,d3ad0001,806327
53,d3ad0001,821619
54,d3ad0001,836911
55,d3ad0001,852203
56,d3ad0001,867496
57,d3ad0001,882794
58,d3ad0001,898086
59,d3ad0001,913379
60,d3ad0001,928669
61,d3ad0001,943963
62,d3ad0001,959259
63,d3ad0001,974553
64,d3ad0001,989843
65,d3ad0001,1005139
66,d3ad0001,1020435
67,d3ad0001,1035728
68,d3ad0001,1051024
69,d3ad0001,1066320
70,d3ad0001,1081613
71,d3ad0001,1096907
72,d3ad0001,1112200
73,d3ad0001,1127494
74,d3ad0001,1142786
75,d3ad0001,1158080
76,d3ad0001,1173372
77,d3ad0001,1188664
78,d3ad0001,1203956
79,d3ad0001,1219250
80,d3ad0001,1234544
81,d3ad0001,1249839
82,d3ad0001,1265133
83,d3ad0001,1280427
84,d3ad0001,1295719
85,d3ad0001,1311013
86,d3ad0001,1326303
87,d3ad0001,1341597
88,d3ad0001,1356891
89,d3ad0001,1372185
90,d3ad0001,1387478
91,d3ad0001,1402771
92,d3ad0001,1418063
93,d3ad0001,1433357
94,d3ad0001,1448647
95,d3ad0001,1463941
96,d3ad0001,1479237
97,d3ad0001,1494533
98,d3ad0001,1509822
99,d3ad0001,1525115
100,d3ad0001,1540408
101,d3ad0001,1555701
102,d3ad0001,1570994
103,d3ad0001,1586288
104,d3ad0001,1601582
105,d3ad0001,1616875
106,d3ad0001,1632165
107,d3ad0001,1647465
108,d3ad0001,1662760
109,d3ad0001,1678054
110,d3ad0001,1693347
111,d3ad0001,1708639
112,d3ad0001,1723932
113,d3ad0001,1739226
114,d3ad0001,1754519
115,d3ad0001,1769817
116,d3ad0001,1785111
117,d3ad0001,1800409
118,d3ad0001,1815705
119,d3ad0001,1830999
120,d3ad0001,1846290
121,d3ad0001,1861584
122,d3ad0001,1876879
123,d3ad0001,1892173
124,d3ad0001,1907465
125,d3ad0001,1922758
126,d3ad0001,1938052
127,d3ad0001,1953348
128,d3ad0001,1968638
129,d3ad0001,1983936
130,d3ad0001,1999230
131,d3ad0001,2014531
132,d3ad0001,2029824
133,d3ad0001,2045120
134,d3ad0001,2060416
135,d3ad0001,2075710
136,d3ad0001,2091008
137,d3ad0001,2106302
138,d3ad0001,2121596
139,d3ad0001,2136893
140,d3ad0001,2152186
141,d3ad0001,2167480
142,d3ad0001,2182773
143,d3ad0001,2198067
144,d3ad0001,2213357
145,d3ad0001,2228650
146,d3ad0001,2243943
147,d3ad0001,2259239
148,d3ad0001,2274529
149,d3ad0001,2289822
150,d3ad0001,2305113
151,d3ad0001,2320406
152,d3ad0001,2335699
153,d3ad0001,2350997
154,d3ad0001,2366294
155,d3ad0001,2381592
156,d3ad0001,2396885
157,d3ad0001,2412179
158,d3ad0001,2427469
159,d3ad0001,2442763
160,d3ad0001,2458055
161,d3ad0001,2473349
162,d3ad0001,2488643
163,d3ad0001,2503937
164,d3ad0001,2519227
165,d3ad0001,2534524
166,d3ad0001,2549821
167,d3ad0001,2565115
168,d3ad0001,2580411
169,d3ad0001,2595705
170,d3ad0001,2610998
171,d3ad0001,2626291
172,d3ad0001,2641585
173,d3ad0001,2656881
174,d3ad0001,2672175
175,d3ad0001,2687471
176,d3ad0001,2702763
177,d3ad0001,2718059
