Count,Modem,Time
0,d3ad0007,623
1,d3ad0007,15829
2,d3ad0007,30955
3,d3ad0007,546
4,d3ad0007,15683
5,d3ad0007,30810
6,d3ad0007,45938
7,d3ad0007,61142
8,d3ad0007,76269
9,d3ad0007,91395
10,d3ad0007,106647
11,d3ad0007,121773
12,d3ad0007,136923
13,d3ad0007,152076
14,d3ad0007,167235
15,d3ad0007,182412
16,d3ad0007,197542
17,d3ad0007,212695
18,d3ad0007,227895
19,d3ad0007,243025
20,d3ad0007,258229
21,d3ad0007,273354
22,d3ad0007,288487
23,d3ad0007,303617
24,d3ad0007,318744
25,d3ad0007,333948
26,d3ad0007,349151
27,d3ad0007,364278
28,d3ad0007,379404
29,d3ad0007,394609
30,d3ad0007,409758
31,d3ad0007,424909
32,d3ad0007,440041
33,d3ad0007,455169
34,d3ad0007,470319
35,d3ad0007,485473
36,d3ad0007,500599
37,d3ad0007,515778
38,d3ad0007,531005
39,d3ad0007,546158
40,d3ad0007,561288
41,d3ad0007,576415
42,d3ad0007,591592
43,d3ad0007,606720
44,d3ad0007,621946
45,d3ad0007,637127
46,d3ad0007,652279
47,d3ad0007,667405
48,d3ad0007,682582
49,d3ad0007,697784
50,d3ad0007,712913
51,d3ad0007,728095
52,d3ad0007,743219
53,d3ad0007,758399
54,d3ad0007,773530
55,d3ad0007,788657
56,d3ad0007,803781
57,d3ad0007,818907
58,d3ad0007,834032
59,d3ad0007,849160
60,d3ad0007,864285
61,d3ad0007,879437
62,d3ad0007,894562
63,d3ad0007,909713
64,d3ad0007,924866
65,d3ad0007,940024
66,d3ad0007,955149
67,d3ad0007,970279
68,d3ad0007,985434
69,d3ad0007,1000563
70,d3ad0007,1015718
71,d3ad0007,1030844
72,d3ad0007,1045970
73,d3ad0007,1061096
74,d3ad0007,1076251
75,d3ad0007,1091456
76,d3ad0007,1106581
77,d3ad0007,1121809
78,d3ad0007,1136936
79,d3ad0007,1152071
80,d3ad0007,1167201
81,d3ad0007,1182332
82,d3ad0007,1197508
83,d3ad0007,1212633
84,d3ad0007,1227785
85,d3ad0007,1242913
86,d3ad0007,539
87,d3ad0007,15671
88,d3ad0007,30897
89,d3ad0007,46031
90,d3ad0007,61188
91,d3ad0007,76391
92,d3ad0007,91543
93,d3ad0007,106723
94,d3ad0007,121899
95,d3ad0007,137126
96,d3ad0007,152258
97,d3ad0007,167437
98,d3ad0007,182565
99,d3ad0007,197695
100,d3ad0007,212845
101,d3ad0007,227995
102,d3ad0007,243120
103,d3ad0007,258300
104,d3ad0007,273450
105,d3ad0007,288600
106,d3ad0007,303752
107,d3ad0007,318879
108,d3ad0007,334005
109,d3ad0007,349187
110,d3ad0007,364317
111,d3ad0007,379472
112,d3ad0007,394622
113,d3ad0007,409832
114,d3ad0007,424957
115,d3ad0007,440116
116,d3ad0007,455243
117,d3ad0007,470368
118,d3ad0007,485494
119,d3ad0007,500649
120,d3ad0007,515774
121,d3ad0007,531051
122,d3ad0007,546183
123,d3ad0007,561336
124,d3ad0007,576463
125,d3ad0007,591616
126,d3ad0007,606766
127,d3ad0007,621918
128,d3ad0007,637070
129,d3ad0007,652196
130,d3ad0007,667321
131,d3ad0007,682500
132,d3ad0007,697633
133,d3ad0007,712761
134,d3ad0007,727910
135,d3ad0007,743061
136,d3ad0007,758185
137,d3ad0007,773318
138,d3ad0007,788443
139,d3ad0007,803570
140,d3ad0007,818719
141,d3ad0007,833875
142,d3ad0007,849005
143,d3ad0007,864135
144,d3ad0007,879310
145,d3ad0007,894465
146,d3ad0007,909589
147,d3ad0007,924741
148,d3ad0007,939866
149,d3ad0007,955015
150,d3ad0007,970197
151,d3ad0007,985324
152,d3ad0007,1000528
153,d3ad0007,1015657
154,d3ad0007,1030782
155,d3ad0007,1045917
156,d3ad0007,1061044
157,d3ad0007,1076173
158,d3ad0007,1091326
159,d3ad0007,1106478
160,d3ad0007,1121633
161,d3ad0007,1136761
162,d3ad0007,1151911
163,d3ad0007,1167116
164,d3ad0007,1182295
165,d3ad0007,1197423
166,d3ad0007,1212549
167,d3ad0007,1227726
168,d3ad0007,1242876
169,d3ad0007,1258080
170,d3ad0007,1273210
171,d3ad0007,1288336
172,d3ad0007,1303462
173,d3ad0007,1318666
174,d3ad0007,1333818
175,d3ad0007,1348971
176,d3ad0007,1364096
177,d3ad0007,1379250
178,d3ad0007,1394426
179,d3ad0007,1409558
180,d3ad0007,1424682
181,d3ad0007,1439889
182,d3ad0007,1455042
183,d3ad0007,1470170
184,d3ad0007,1485372
185,d3ad0007,1500525
186,d3ad0007,1515677
187,d3ad0007,1530804
188,d3ad0007,1545964
189,d3ad0007,1561166
190,d3ad0007,1576290
191,d3ad0007,1591521
192,d3ad0007,1606879
193,d3ad0007,1622037
194,d3ad0007,1637163
195,d3ad0007,1652292
196,d3ad0007,1667417
197,d3ad0007,1682577
198,d3ad0007,1697908
199,d3ad0007,1713086
200,d3ad0007,1728212
201,d3ad0007,1743394
202,d3ad0007,1758523
203,d3ad0007,1773652
204,d3ad0007,1788809
