Count,Modem,Time
0,d3ad1351,705
1,d3ad1351,60845
2,d3ad1351,674
3,d3ad1351,15838
4,d3ad1351,30951
5,d3ad1351,46069
6,d3ad1351,61211
7,d3ad1351,76334
8,d3ad1351,91499
9,d3ad1351,106664
10,d3ad1351,121829
11,d3ad1351,136994
12,d3ad1351,152112
13,d3ad1351,167226
14,d3ad1351,182367
15,d3ad1351,197491
16,d3ad1351,212658
17,d3ad1351,227773
18,d3ad1351,242915
19,d3ad1351,258027
20,d3ad1351,273143
21,d3ad1351,288260
22,d3ad1351,303383
23,d3ad1351,318519
24,d3ad1351,333660
25,d3ad1351,348775
26,d3ad1351,363892
27,d3ad1351,379059
28,d3ad1351,394176
29,d3ad1351,409292
30,d3ad1351,424434
31,d3ad1351,439550
32,d3ad1351,454692
33,d3ad1351,469937
34,d3ad1351,485077
35,d3ad1351,500195
36,d3ad1351,515313
37,d3ad1351,530429
38,d3ad1351,675
39,d3ad1351,551
40,d3ad1351,15697
41,d3ad1351,30845
42,d3ad1351,45964
43,d3ad1351,61105
44,d3ad1351,76247
45,d3ad1351,91363
46,d3ad1351,106479
47,d3ad1351,121622
48,d3ad1351,136764
49,d3ad1351,151879
50,d3ad1351,166994
51,d3ad1351,182135
52,d3ad1351,197275
53,d3ad1351,212491
54,d3ad1351,227608
55,d3ad1351,242750
56,d3ad1351,257944
57,d3ad1351,273109
58,d3ad1351,288227
59,d3ad1351,303398
60,d3ad1351,318541
61,d3ad1351,333657
62,d3ad1351,348774
63,d3ad1351,363888
64,d3ad1351,379006
65,d3ad1351,394121
66,d3ad1351,409238
67,d3ad1351,424379
68,d3ad1351,439496
69,d3ad1351,454613
70,d3ad1351,469728
71,d3ad1351,484845
72,d3ad1351,499963
73,d3ad1351,515078
74,d3ad1351,530253
75,d3ad1351,545377
76,d3ad1351,560495
77,d3ad1351,575690
78,d3ad1351,590833
79,d3ad1351,605947
80,d3ad1351,621090
81,d3ad1351,636310
82,d3ad1351,651435
83,d3ad1351,666575
84,d3ad1351,681693
85,d3ad1351,696811
86,d3ad1351,711928
87,d3ad1351,727043
88,d3ad1351,742186
89,d3ad1351,757303
