Count,Modem,Time
65,d3ad1009,578
66,d3ad1009,507
67,d3ad1009,600628
68,d3ad1009,1200747
69,d3ad1009,1800867
70,d3ad1009,2400989
71,d3ad1009,3001115
72,d3ad1009,3601239
73,d3ad1009,4201360
74,d3ad1009,4801484
75,d3ad1009,5401604
76,d3ad1009,6001721
77,d3ad1009,6601840
78,d3ad1009,7201963
79,d3ad1009,7802083
80,d3ad1009,8402201
81,d3ad1009,9002328
82,d3ad1009,9602449
83,d3ad1009,10202570
84,d3ad1009,10802693
85,d3ad1009,11402810
86,d3ad1009,12002929
87,d3ad1009,12603051
88,d3ad1009,13203171
89,d3ad1009,13803292
90,d3ad1009,14403413
91,d3ad1009,15003530
92,d3ad1009,15603652
93,d3ad1009,16203771
94,d3ad1009,16803889
95,d3ad1009,17404008
96,d3ad1009,18004132
97,d3ad1009,18604252
98,d3ad1009,19204377
99,d3ad1009,19804496
100,d3ad1009,20404615
101,d3ad1009,21004731
102,d3ad1009,21604852
103,d3ad1009,22204971
104,d3ad1009,22805089
105,d3ad1009,23405205
106,d3ad1009,24005324
107,d3ad1009,24605440
108,d3ad1009,25205560
109,d3ad1009,25805679
110,d3ad1009,26405800
111,d3ad1009,27005916
112,d3ad1009,27606035
113,d3ad1009,28206153
114,d3ad1009,28806275
115,d3ad1009,29406389
116,d3ad1009,30006510
117,d3ad1009,30606629
118,d3ad1009,31206748
119,d3ad1009,31806874
120,d3ad1009,32406995
121,d3ad1009,33007110
122,d3ad1009,33607227
123,d3ad1009,34207344
124,d3ad1009,34807465
125,d3ad1009,35407583
126,d3ad1009,36007705
127,d3ad1009,36607824
128,d3ad1009,37207945
129,d3ad1009,37808059
130,d3ad1009,38408177
131,d3ad1009,39008292
132,d3ad1009,39608412
133,d3ad1009,40208534
134,d3ad1009,40808655
135,d3ad1009,41408773
136,d3ad1009,42008895
137,d3ad1009,42609014
138,d3ad1009,43209138
139,d3ad1009,43809259
140,d3ad1009,44409378
141,d3ad1009,45009507
142,d3ad1009,45609628
143,d3ad1009,46209749
144,d3ad1009,46809872
145,d3ad1009,47409991
146,d3ad1009,48010112
147,d3ad1009,48610234
148,d3ad1009,49210355
149,d3ad1009,49810477
150,d3ad1009,50410603
151,d3ad1009,51010724
152,d3ad1009,51610845
153,d3ad1009,52210972
154,d3ad1009,52811093
155,d3ad1009,53411212
156,d3ad1009,54011333
157,d3ad1009,54611454
158,d3ad1009,55211573
159,d3ad1009,55811696
160,d3ad1009,56411820
161,d3ad1009,57011935
162,d3ad1009,57612061
163,d3ad1009,58212180
164,d3ad1009,58812303
165,d3ad1009,59412421
166,d3ad1009,60012539
167,d3ad1009,60612659
168,d3ad1009,61212778
169,d3ad1009,61812897
170,d3ad1009,62413018
171,d3ad1009,63013138
172,d3ad1009,63613266
173,d3ad1009,64213384
174,d3ad1009,64813511
175,d3ad1009,65413630
176,d3ad1009,66013753
177,d3ad1009,66613870
178,d3ad1009,67213990
179,d3ad1009,67814109
180,d3ad1009,68414232
181,d3ad1009,69014355
182,d3ad1009,69614474
183,d3ad1009,70214590
184,d3ad1009,70814711
185,d3ad1009,71414832
186,d3ad1009,72014959
187,d3ad1009,72615078
188,d3ad1009,73215199
189,d3ad1009,73815323
190,d3ad1009,74415444
191,d3ad1009,75015562
192,d3ad1009,75615681
193,d3ad1009,76215803
194,d3ad1009,76815929
195,d3ad1009,77416050
196,d3ad1009,78016169
197,d3ad1009,78616283
198,d3ad1009,79216402
199,d3ad1009,79816520
200,d3ad1009,80416639
201,d3ad1009,81016763
202,d3ad1009,81616883
203,d3ad1009,82217001
204,d3ad1009,82817119
205,d3ad1009,83417237
206,d3ad1009,84017355
207,d3ad1009,84617471
208,d3ad1009,85217590
209,d3ad1009,85817705
210,d3ad1009,86417824
211,d3ad1009,87017942
212,d3ad1009,87618067
213,d3ad1009,88218187
214,d3ad1009,88818307
215,d3ad1009,89418423
216,d3ad1009,90018542
217,d3ad1009,90618659
218,d3ad1009,91218782
219,d3ad1009,91818900
220,d3ad1009,92419019
221,d3ad1009,93019139
222,d3ad1009,93619259
223,d3ad1009,94219379
224,d3ad1009,94819497
225,d3ad1009,95419621
226,d3ad1009,96019740
227,d3ad1009,96619861
228,d3ad1009,97219979
229,d3ad1009,97820096
230,d3ad1009,98420215
231,d3ad1009,99020333
232,d3ad1009,99620453
233,d3ad1009,100220571
234,d3ad1009,100820694
235,d3ad1009,101420814
236,d3ad1009,102020933
237,d3ad1009,102621050
238,d3ad1009,103221172
239,d3ad1009,103821289
240,d3ad1009,104421409
241,d3ad1009,105021526
242,d3ad1009,105621650
243,d3ad1009,106221766
244,d3ad1009,106821885
245,d3ad1009,107422004
246,d3ad1009,108022124
247,d3ad1009,108622241
248,d3ad1009,109222361
249,d3ad1009,109822484
250,d3ad1009,110422608
251,d3ad1009,111022729
252,d3ad1009,111622853
253,d3ad1009,112222973
254,d3ad1009,112823095
255,d3ad1009,113423217
256,d3ad1009,114023337
257,d3ad1009,114623462
258,d3ad1009,115223583
259,d3ad1009,115823700
260,d3ad1009,116423820
261,d3ad1009,117023942
262,d3ad1009,117624063
263,d3ad1009,118224181
264,d3ad1009,118824302
265,d3ad1009,119424422
266,d3ad1009,120024542
267,d3ad1009,120624659
268,d3ad1009,121224781
269,d3ad1009,121824902
270,d3ad1009,122425023
271,d3ad1009,123025140
272,d3ad1009,123625260
273,d3ad1009,124225379
274,d3ad1009,124825501
275,d3ad1009,125425617
276,d3ad1009,126025738
277,d3ad1009,126625862
278,d3ad1009,127225985
279,d3ad1009,127826102
280,d3ad1009,128426223
281,d3ad1009,129026342
282,d3ad1009,129626463
283,d3ad1009,130226584
284,d3ad1009,130826703
285,d3ad1009,131426822
286,d3ad1009,132026941
287,d3ad1009,132627062
288,d3ad1009,133227179
289,d3ad1009,133827299
290,d3ad1009,134427418
291,d3ad1009,135027539
292,d3ad1009,135627658
293,d3ad1009,136227775
294,d3ad1009,136827894
295,d3ad1009,137428010
296,d3ad1009,138028129
297,d3ad1009,138628247
298,d3ad1009,139228364
299,d3ad1009,139828483
300,d3ad1009,140428603
301,d3ad1009,141028719
302,d3ad1009,141628844
303,d3ad1009,142228963
304,d3ad1009,142829084
305,d3ad1009,143429198
306,d3ad1009,144029318
307,d3ad1009,144629437
308,d3ad1009,145229559
309,d3ad1009,145829676
310,d3ad1009,146429799
311,d3ad1009,147029921
312,d3ad1009,147630041
313,d3ad1009,148230163
314,d3ad1009,148830283
315,d3ad1009,149430403
316,d3ad1009,150030526
317,d3ad1009,150630643
318,d3ad1009,151230765
319,d3ad1009,151830885
320,d3ad1009,152431006
321,d3ad1009,153031128
322,d3ad1009,153631249
323,d3ad1009,154231368
324,d3ad1009,154831492
325,d3ad1009,155431611
326,d3ad1009,156031737
327,d3ad1009,156631861
328,d3ad1009,157231979
329,d3ad1009,157832101
330,d3ad1009,158432222
331,d3ad1009,159032340
332,d3ad1009,159632459
333,d3ad1009,160232576
334,d3ad1009,160832696
335,d3ad1009,161432816
336,d3ad1009,162032937
337,d3ad1009,162633061
338,d3ad1009,163233190
339,d3ad1009,163833306
340,d3ad1009,164433425
341,d3ad1009,165033544
342,d3ad1009,165633664
343,d3ad1009,166233786
344,d3ad1009,166833905
345,d3ad1009,167434020
346,d3ad1009,168034137
347,d3ad1009,168634255
348,d3ad1009,169234380
349,d3ad1009,169834501
350,d3ad1009,170434620
351,d3ad1009,171034741
352,d3ad1009,171634863
353,d3ad1009,172234984
354,d3ad1009,172835107
355,d3ad1009,173435234
356,d3ad1009,174035354
357,d3ad1009,174635472
358,d3ad1009,175235592
359,d3ad1009,175835712
360,d3ad1009,176435838
361,d3ad1009,177035954
362,d3ad1009,177636075
363,d3ad1009,178236196
364,d3ad1009,178836316
365,d3ad1009,179436437
366,d3ad1009,180036560
367,d3ad1009,180636678
368,d3ad1009,181236800
369,d3ad1009,181836923
