Count,Modem,Time
8,d3ad100b,511
9,d3ad100b,600630
10,d3ad100b,1200751
11,d3ad100b,1800869
12,d3ad100b,2400996
13,d3ad100b,3001122
14,d3ad100b,3601242
15,d3ad100b,4201364
16,d3ad100b,4801491
17,d3ad100b,5401612
18,d3ad100b,6001723
19,d3ad100b,6601847
20,d3ad100b,7201965
21,d3ad100b,7802082
22,d3ad100b,8402198
23,d3ad100b,9002317
24,d3ad100b,9602434
25,d3ad100b,10202560
26,d3ad100b,10802681
27,d3ad100b,11402799
28,d3ad100b,12002921
29,d3ad100b,12603041
30,d3ad100b,13203161
31,d3ad100b,13803282
32,d3ad100b,14403401
33,d3ad100b,15003525
34,d3ad100b,15603643
35,d3ad100b,16203762
36,d3ad100b,16803884
37,d3ad100b,17404004
38,d3ad100b,18004126
39,d3ad100b,18604245
40,d3ad100b,19204374
41,d3ad100b,19804495
42,d3ad100b,20404610
43,d3ad100b,21004732
44,d3ad100b,21604859
45,d3ad100b,22204977
46,d3ad100b,22805096
47,d3ad100b,23405214
48,d3ad100b,24005334
49,d3ad100b,24605454
50,d3ad100b,25205579
51,d3ad100b,25805708
52,d3ad100b,26405828
53,d3ad100b,27005948
54,d3ad100b,27606069
55,d3ad100b,28206188
56,d3ad100b,28806308
57,d3ad100b,29406425
58,d3ad100b,30006546
59,d3ad100b,30606665
60,d3ad100b,31206783
61,d3ad100b,31806905
62,d3ad100b,32407027
63,d3ad100b,33007148
64,d3ad100b,33607264
65,d3ad100b,34207385
66,d3ad100b,34807504
67,d3ad100b,35407628
68,d3ad100b,36007752
69,d3ad100b,36607871
70,d3ad100b,37207989
71,d3ad100b,37808110
72,d3ad100b,38408227
73,d3ad100b,39008353
74,d3ad100b,39608471
75,d3ad100b,40208591
76,d3ad100b,40808707
77,d3ad100b,41408828
78,d3ad100b,42008945
79,d3ad100b,42609067
80,d3ad100b,43209187
81,d3ad100b,43809305
82,d3ad100b,44409421
83,d3ad100b,45009545
84,d3ad100b,45609660
85,d3ad100b,46209781
86,d3ad100b,46809900
87,d3ad100b,47410020
88,d3ad100b,48010137
89,d3ad100b,48610261
90,d3ad100b,49210379
91,d3ad100b,49810499
92,d3ad100b,50410620
93,d3ad100b,51010741
94,d3ad100b,51610857
95,d3ad100b,52210975
96,d3ad100b,52811094
97,d3ad100b,53411215
98,d3ad100b,54011332
99,d3ad100b,54611451
100,d3ad100b,55211571
101,d3ad100b,55811691
102,d3ad100b,56411808
103,d3ad100b,57011928
104,d3ad100b,57612048
105,d3ad100b,58212168
106,d3ad100b,58812290
107,d3ad100b,59412408
108,d3ad100b,60012524
109,d3ad100b,60612644
110,d3ad100b,61212763
111,d3ad100b,61812889
112,d3ad100b,62413008
113,d3ad100b,63013128
114,d3ad100b,63613249
115,d3ad100b,64213370
116,d3ad100b,64813487
117,d3ad100b,65413607
118,d3ad100b,66013733
119,d3ad100b,66613853
120,d3ad100b,67213970
121,d3ad100b,67814091
122,d3ad100b,68414210
123,d3ad100b,69014331
124,d3ad100b,69614448
125,d3ad100b,70214568
126,d3ad100b,70814690
127,d3ad100b,71414812
128,d3ad100b,72014933
129,d3ad100b,72615053
130,d3ad100b,73215175
131,d3ad100b,73815297
132,d3ad100b,74415416
133,d3ad100b,75015534
134,d3ad100b,75615658
135,d3ad100b,76215776
136,d3ad100b,76815896
137,d3ad100b,77416018
138,d3ad100b,78016136
139,d3ad100b,78616256
140,d3ad100b,79216378
141,d3ad100b,79816498
142,d3ad100b,80416616
143,d3ad100b,81016736
144,d3ad100b,81616855
145,d3ad100b,82216975
146,d3ad100b,82817101
147,d3ad100b,83417221
148,d3ad100b,84017337
149,d3ad100b,84617454
150,d3ad100b,85217568
151,d3ad100b,85817686
152,d3ad100b,86417802
153,d3ad100b,87017921
154,d3ad100b,87618038
155,d3ad100b,88218156
156,d3ad100b,88818271
157,d3ad100b,89418392
158,d3ad100b,90018516
159,d3ad100b,90618635
160,d3ad100b,91218753
161,d3ad100b,91818880
162,d3ad100b,92419001
163,d3ad100b,93019120
164,d3ad100b,93619239
165,d3ad100b,94219365
166,d3ad100b,94819481
167,d3ad100b,95419604
168,d3ad100b,96019723
169,d3ad100b,96619844
170,d3ad100b,97219964
171,d3ad100b,97820083
172,d3ad100b,98420203
173,d3ad100b,99020323
174,d3ad100b,99620439
175,d3ad100b,100220559
176,d3ad100b,100820680
177,d3ad100b,101420802
178,d3ad100b,102020924
179,d3ad100b,102621045
180,d3ad100b,103221163
181,d3ad100b,103821280
182,d3ad100b,104421403
183,d3ad100b,105021524
184,d3ad100b,105621644
185,d3ad100b,106221770
186,d3ad100b,106821891
187,d3ad100b,107422012
188,d3ad100b,108022134
189,d3ad100b,108622253
190,d3ad100b,109222377
191,d3ad100b,109822503
192,d3ad100b,110422624
193,d3ad100b,111022753
194,d3ad100b,111622869
195,d3ad100b,112222989
196,d3ad100b,112823109
197,d3ad100b,113423232
198,d3ad100b,114023351
199,d3ad100b,114623472
200,d3ad100b,115223589
201,d3ad100b,115823707
202,d3ad100b,116423827
203,d3ad100b,117023946
204,d3ad100b,117624064
205,d3ad100b,118224188
206,d3ad100b,118824304
207,d3ad100b,119424423
208,d3ad100b,120024541
209,d3ad100b,120624661
210,d3ad100b,121224781
211,d3ad100b,121824901
