Count,Modem,Time
2,d3ad100c,497
3,d3ad100c,600610
4,d3ad100c,1200723
5,d3ad100c,1800837
6,d3ad100c,2400948
7,d3ad100c,3001058
8,d3ad100c,3601168
9,d3ad100c,4201277
10,d3ad100c,4801388
11,d3ad100c,5401497
12,d3ad100c,6001608
13,d3ad100c,6601722
14,d3ad100c,7201828
15,d3ad100c,7801937
16,d3ad100c,8402046
17,d3ad100c,9002155
18,d3ad100c,9602266
19,d3ad100c,10202376
20,d3ad100c,10802481
21,d3ad100c,11402590
22,d3ad100c,12002698
23,d3ad100c,12602807
24,d3ad100c,13202915
25,d3ad100c,13803025
26,d3ad100c,14403134
27,d3ad100c,15003244
28,d3ad100c,15603349
29,d3ad100c,16203460
30,d3ad100c,16803570
31,d3ad100c,17403685
32,d3ad100c,18003790
33,d3ad100c,18603900
34,d3ad100c,19204013
35,d3ad100c,19804123
36,d3ad100c,20404236
37,d3ad100c,21004347
38,d3ad100c,21604455
39,d3ad100c,22204570
40,d3ad100c,22804679
41,d3ad100c,23404795
42,d3ad100c,24004903
43,d3ad100c,24605014
44,d3ad100c,25205124
45,d3ad100c,25805234
46,d3ad100c,26405343
47,d3ad100c,27005453
48,d3ad100c,27605563
49,d3ad100c,28205672
50,d3ad100c,28805784
51,d3ad100c,29405894
52,d3ad100c,30006003
53,d3ad100c,30606113
54,d3ad100c,31206221
55,d3ad100c,31806333
56,d3ad100c,32406439
57,d3ad100c,33006550
58,d3ad100c,33606667
59,d3ad100c,34206777
60,d3ad100c,34806884
61,d3ad100c,35406995
62,d3ad100c,36007106
63,d3ad100c,36607215
64,d3ad100c,37207325
65,d3ad100c,37807435
66,d3ad100c,38407546
67,d3ad100c,39007657
68,d3ad100c,39607769
69,d3ad100c,40207886
70,d3ad100c,40807997
71,d3ad100c,41408110
72,d3ad100c,42008222
73,d3ad100c,42608333
74,d3ad100c,43208442
75,d3ad100c,43808553
76,d3ad100c,44408662
77,d3ad100c,45008773
78,d3ad100c,45608887
79,d3ad100c,46209001
80,d3ad100c,46809112
81,d3ad100c,47409224
82,d3ad100c,48009340
83,d3ad100c,48609450
84,d3ad100c,49209560
85,d3ad100c,49809670
86,d3ad100c,50409777
87,d3ad100c,51009891
88,d3ad100c,51610004
89,d3ad100c,52210114
90,d3ad100c,52810225
91,d3ad100c,53410336
92,d3ad100c,54010447
