Count,Modem,Time
528,d3ad1008,31686910
529,d3ad1008,31746923
530,d3ad1008,31806936
531,d3ad1008,31866949
532,d3ad1008,31926962
533,d3ad1008,31986975
534,d3ad1008,32046988
535,d3ad1008,32107001
536,d3ad1008,32167014
537,d3ad1008,32227027
538,d3ad1008,32287040
539,d3ad1008,32347053
540,d3ad1008,32407066
541,d3ad1008,32467079
542,d3ad1008,32527092
543,d3ad1008,32587105
544,d3ad1008,32647118
545,d3ad1008,32707131
546,d3ad1008,32767144
547,d3ad1008,32827157
548,d3ad1008,32887170
549,d3ad1008,32947183
550,d3ad1008,33007196
551,d3ad1008,33067209
552,d3ad1008,33127222
553,d3ad1008,33187235
554,d3ad1008,33247248
555,d3ad1008,33307261
556,d3ad1008,33367274
557,d3ad1008,33427287
558,d3ad1008,33487300
559,d3ad1008,33547313
560,d3ad1008,33607326
561,d3ad1008,33667339
562,d3ad1008,33727352
563,d3ad1008,33787365
564,d3ad1008,33847378
565,d3ad1008,33907391
566,d3ad1008,33967404
567,d3ad1008,34027417
568,d3ad1008,34087430
569,d3ad1008,34147443
570,d3ad1008,34207456
571,d3ad1008,34267469
572,d3ad1008,34327482
573,d3ad1008,34387495
574,d3ad1008,34447508
575,d3ad1008,34507521
576,d3ad1008,34567534
577,d3ad1008,34627547
578,d3ad1008,34687560
579,d3ad1008,34747573
580,d3ad1008,34807586
581,d3ad1008,34867599
582,d3ad1008,34927612
583,d3ad1008,34987625
584,d3ad1008,35047638
585,d3ad1008,35107651
586,d3ad1008,35167664
587,d3ad1008,35227677
588,d3ad1008,35287690
589,d3ad1008,35347703
590,d3ad1008,35407716
591,d3ad1008,35467729
592,d3ad1008,35527742
593,d3ad1008,35587755
594,d3ad1008,35647768
595,d3ad1008,35707781
596,d3ad1008,35767794
597,d3ad1008,35827807
598,d3ad1008,35887820
599,d3ad1008,35947833
600,d3ad1008,36007846
601,d3ad1008,36067859
602,d3ad1008,36127872
603,d3ad1008,36187885
604,d3ad1008,36247898
605,d3ad1008,36307911
606,d3ad1008,36367924
607,d3ad1008,36427937
608,d3ad1008,36487950
609,d3ad1008,36547963
610,d3ad1008,36607976
611,d3ad1008,36667989
612,d3ad1008,36728002
613,d3ad1008,36788015
614,d3ad1008,36848028
615,d3ad1008,36908041
616,d3ad1008,36968054
617,d3ad1008,37028067
618,d3ad1008,37088080
619,d3ad1008,37148093
620,d3ad1008,37208106
621,d3ad1008,37268119
622,d3ad1008,37328132
623,d3ad1008,37388145
624,d3ad1008,37448158
625,d3ad1008,37508171
626,d3ad1008,37568184
627,d3ad1008,37628197
628,d3ad1008,37688210
629,d3ad1008,37748223
630,d3ad1008,37808236
631,d3ad1008,37868249
632,d3ad1008,37928262
633,d3ad1008,37988275
634,d3ad1008,38048288
635,d3ad1008,38108301
636,d3ad1008,38168314
637,d3ad1008,38228327
638,d3ad1008,38288340
639,d3ad1008,38348353
640,d3ad1008,38408366
641,d3ad1008,38468379
642,d3ad1008,38528392
643,d3ad1008,38588405
644,d3ad1008,38648418
645,d3ad1008,38708431
646,d3ad1008,38768444
647,d3ad1008,38828457
648,d3ad1008,38888470
649,d3ad1008,38948483
650,d3ad1008,39008496
651,d3ad1008,39068509
652,d3ad1008,39128522
653,d3ad1008,39188535
654,d3ad1008,39248548
655,d3ad1008,39308561
656,d3ad1008,39368574
657,d3ad1008,39428587
658,d3ad1008,39488600
659,d3ad1008,39548613
660,d3ad1008,39608626
661,d3ad1008,39668639
662,d3ad1008,39728652
663,d3ad1008,39788665
664,d3ad1008,39848678
665,d3ad1008,39908691
666,d3ad1008,39968704
667,d3ad1008,40028717
668,d3ad1008,40088730
669,d3ad1008,40148743
670,d3ad1008,40208756
671,d3ad1008,40268769
672,d3ad1008,40328782
673,d3ad1008,40388795
674,d3ad1008,40448808
675,d3ad1008,40508821
676,d3ad1008,40568834
677,d3ad1008,40628847
678,d3ad1008,40688860
679,d3ad1008,40748873
680,d3ad1008,40808886
681,d3ad1008,40868899
682,d3ad1008,40928912
683,d3ad1008,40988925
684,d3ad1008,41048938
685,d3ad1008,41108951
686,d3ad1008,41168964
687,d3ad1008,41228977
688,d3ad1008,41288990
689,d3ad1008,41349003
690,d3ad1008,41409016
691,d3ad1008,41469029
692,d3ad1008,41529042
693,d3ad1008,41589055
694,d3ad1008,41649068
695,d3ad1008,41709081
696,d3ad1008,41769094
697,d3ad1008,41829107
698,d3ad1008,41889120
699,d3ad1008,41949133
700,d3ad1008,42009146
701,d3ad1008,42069159
702,d3ad1008,42129172
703,d3ad1008,42189185
704,d3ad1008,42249198
705,d3ad1008,42309211
706,d3ad1008,42369224
707,d3ad1008,42429237
708,d3ad1008,42489250
709,d3ad1008,42549263
710,d3ad1008,42609276
711,d3ad1008,42669289
712,d3ad1008,42729302
713,d3ad1008,42789315
714,d3ad1008,42849328
715,d3ad1008,42909341
716,d3ad1008,42969354
717,d3ad1008,43029367
718,d3ad1008,43089380
719,d3ad1008,43149393
720,d3ad1008,50
721,d3ad1008,49
722,d3ad1008,50
723,d3ad1008,60062
724,d3ad1008,120074
725,d3ad1008,180086
726,d3ad1008,240098
727,d3ad1008,300110
728,d3ad1008,360122
729,d3ad1008,420134
730,d3ad1008,480146
731,d3ad1008,540158
732,d3ad1008,600170
733,d3ad1008,660182
734,d3ad1008,720194
735,d3ad1008,780206
736,d3ad1008,840218
737,d3ad1008,900230
738,d3ad1008,50
739,d3ad1008,60062
740,d3ad1008,120074
741,d3ad1008,180086
742,d3ad1008,240098
743,d3ad1008,300110
744,d3ad1008,360122
745,d3ad1008,420134
746,d3ad1008,480146
747,d3ad1008,540158
748,d3ad1008,600170
749,d3ad1008,660182
750,d3ad1008,720194
751,d3ad1008,780206
752,d3ad1008,840218
753,d3ad1008,900230
754,d3ad1008,960242
755,d3ad1008,1020254
756,d3ad1008,1080266
757,d3ad1008,1140278
758,d3ad1008,1200290
759,d3ad1008,1260302
760,d3ad1008,1320314
761,d3ad1008,1380326
762,d3ad1008,1440338
763,d3ad1008,1500350
764,d3ad1008,1560362
765,d3ad1008,1620374
766,d3ad1008,1680386
767,d3ad1008,1740398
768,d3ad1008,1800410
769,d3ad1008,1860422
770,d3ad1008,1920434
771,d3ad1008,1980446
772,d3ad1008,2040458
773,d3ad1008,2100470
774,d3ad1008,2160482
775,d3ad1008,2220494
776,d3ad1008,2280506
777,d3ad1008,2340518
778,d3ad1008,2400530
779,d3ad1008,2460542
780,d3ad1008,2520554
781,d3ad1008,2580566
782,d3ad1008,2640578
783,d3ad1008,2700590
784,d3ad1008,2760602
785,d3ad1008,2820614
786,d3ad1008,2880626
787,d3ad1008,2940638
788,d3ad1008,3000650
789,d3ad1008,3060662
790,d3ad1008,3120674
791,d3ad1008,3180686
792,d3ad1008,3240698
793,d3ad1008,3300710
794,d3ad1008,3360722
795,d3ad1008,3420734
796,d3ad1008,3480746
797,d3ad1008,3540758
798,d3ad1008,3600770
799,d3ad1008,3660782
800,d3ad1008,3720794
